"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"FOXF1"	-2.04215675058672	2.77037358092383	-15.8792997379223	1.30738078962794e-30	1.50273653980223e-28	59.1045449738618
"USHBP1"	-1.15661565426079	1.09726717477866	-15.872225646571	1.3539657817093e-30	1.53859747921511e-28	59.0697044524447
"SPAG4"	1.70280493266507	1.7616675350219	15.8330625412147	1.64374783594169e-30	1.84690768083335e-28	58.8767125949151
"ANOS1"	-2.31899884323639	3.73171629311918	-15.8101550400406	1.84136189772206e-30	2.04595766413562e-28	58.7637403634266
"PDZD2"	-1.76014154196054	2.10121242289973	-15.8074785931539	1.86595631571102e-30	2.05050144583629e-28	58.7505368571997
"TOP2A"	2.92387358152174	2.57481937215141	15.7830998814528	2.10574312601037e-30	2.28885122392432e-28	58.6302312890564
"DKC1"	1.09003374035983	3.70800256673237	15.7578129502065	2.38725071610035e-30	2.56693625387134e-28	58.5053677416881
"PTPRQ"	-0.634468160030696	0.367645123231792	-15.7270871701643	2.780711930219e-30	2.95820418108404e-28	58.3535438290187
"SLC35B1"	0.769869762445439	3.29207991842219	15.6858118897711	3.41381804472642e-30	3.59349267865939e-28	58.1494128256912
"ST8SIA6"	-1.65065524536376	1.23386573611512	-15.6824342493911	3.47163641624824e-30	3.61628793359192e-28	58.1326992825239
"HSPD1"	1.24943823098597	5.62087366822158	15.6757514638603	3.58894793193068e-30	3.69994632157802e-28	58.0996268771408
"ABI3BP"	-2.09864277068375	2.74527793939918	-15.6648924484228	3.78812659720054e-30	3.86543530326585e-28	58.0458752876507
"PEBP4"	-3.84260581688962	4.64385226108624	-15.6512167646451	4.05485171965098e-30	4.09580981782927e-28	57.9781611562464
"RXFP1"	-1.14011814345298	0.842967079073616	-15.6361873933252	4.3698012039047e-30	4.3698012039047e-28	57.903718424633
"COX4I2"	-2.04364324785719	3.54190558045035	-15.5900135973841	5.49973168758927e-30	5.44527889860324e-28	57.6748431806954
"WFS1"	-1.52530950931579	4.57164049834789	-15.5106922400945	8.16920940382808e-30	8.00902882728244e-28	57.2810661188576
"RPL13AP17"	-2.33321923260072	1.5604459208842	-15.4855564689019	9.26190931379528e-30	8.99214496484979e-28	57.1561274613135
"CCNB1"	2.38816835571825	2.73975181608842	15.477597064904	9.63765856921485e-30	9.21990591008966e-28	57.116549168236
"SLC25A39"	1.13848252475263	5.00145400191298	15.4767011436195	9.68090120559414e-30	9.21990591008966e-28	57.1120937106717
"ADAMTS7P3"	-1.74548765947273	1.07868675448623	-15.4340358722798	1.19826206230545e-29	1.12861722976923e-27	56.8998070771756
